date,item_id,sales_figures,store_id
2025/11/20,0000000001,26,0008
2025/11/20,0000000001,11,0024
2025/11/20,0000000001,59,0045
2025/11/20,0000000001,16,0017
2025/11/20,0000000001,75,0007
2025/11/20,0000000001,6,0009
2025/11/20,0000000001,53,0040
2025/11/20,0000000001,0,0001
2025/11/20,0000000001,69,0013
2025/11/20,0000000001,62,0011
2025/11/20,0000000001,76,0005
2025/11/20,0000000001,55,0025
2025/11/20,0000000001,73,0024
2025/11/20,0000000001,63,0045
2025/11/20,0000000001,31,0012
2025/11/20,0000000001,55,0008
2025/11/20,0000000001,92,0035
2025/11/20,0000000001,69,0031
2025/11/20,0000000001,14,0002
2025/11/20,0000000001,27,0002
2025/11/20,0000000001,13,0003
2025/11/20,0000000001,85,0025
2025/11/20,0000000001,81,0037
2025/11/20,0000000001,38,0026
2025/11/20,0000000001,3,0021
2025/11/20,0000000001,86,0024
2025/11/20,0000000001,8,0039
2025/11/20,0000000001,73,0013
2025/11/20,0000000001,60,0031
2025/11/20,0000000001,66,0016
2025/11/20,0000000001,54,0017
2025/11/20,0000000001,63,0005
2025/11/20,0000000001,70,0043
2025/11/20,0000000001,52,0041
2025/11/20,0000000001,100,0048
2025/11/20,0000000001,59,0014
2025/11/20,0000000001,21,0031
2025/11/20,0000000001,60,0008
2025/11/20,0000000001,60,0017
2025/11/20,0000000001,96,0009
2025/11/20,0000000001,54,0015
2025/11/20,0000000001,3,0008
2025/11/20,0000000001,20,0026
2025/11/20,0000000001,48,0005
2025/11/20,0000000001,76,0020
2025/11/20,0000000001,43,0010
2025/11/20,0000000001,12,0028
2025/11/20,0000000001,33,0043
2025/11/20,0000000001,99,0031
2025/11/20,0000000001,20,0019
2025/11/20,0000000001,32,0009
2025/11/19,0000000001,83,0020
2025/11/19,0000000001,78,0025
2025/11/19,0000000001,57,0026
2025/11/19,0000000001,97,0028
2025/11/19,0000000001,72,0007
2025/11/19,0000000001,0,0007
2025/11/19,0000000001,69,0021
2025/11/19,0000000001,24,0026
2025/11/19,0000000001,90,0046
2025/11/19,0000000001,88,0013
2025/11/19,0000000001,68,0034
2025/11/19,0000000001,64,0037
2025/11/19,0000000001,56,0013
2025/11/19,0000000001,65,0031
2025/11/19,0000000001,25,0007
2025/11/19,0000000001,25,0022
2025/11/19,0000000001,2,0029
2025/11/19,0000000001,99,0004
2025/11/19,0000000001,93,0044
2025/11/19,0000000001,16,0032
2025/11/19,0000000001,11,0042
